         250       31125
 i,   j,   euc(i,j),   man(i,j)
     3   155  7042.544  8685.000
     3   156  3228.254  4036.000
     3   157  3757.180  5181.000
     3   158  5647.628  7063.000
     3   159  5506.771  5773.000
     3   160  5113.114  7126.000
     3   161  6003.663  6579.000
     3   162  2829.109  3990.000
     3   163  4310.557  5170.000
     3   164  3822.451  5404.000
     3   165  5202.182  6649.000
     3   166  6848.647  8911.000
     3   167  3048.495  3868.000
     3   168  3375.031  4592.000
     3   169  5864.517  6805.000
     3   170  5805.396  6865.000
     3   171  6034.325  7275.000
     3   172  6743.374  8856.000
     3   173  2725.426  3788.000
     3   174  2529.130  3336.000
     3   175  3158.738  4444.000
     3   176  7463.757  8610.000
     3   177  4804.979  5891.000
     3   178  1567.323  1666.000
     3   179  2536.983  2657.000
     3   180  2573.598  3639.000
     3   181  3387.424  4562.000
     3   182   817.543  1055.000
     3   183  2305.464  3231.000
     3   184  5837.657  6462.000
     3   185  5917.612  7526.000
     3   186  2736.101  3860.000
     3   187  3000.833  3284.000
     3   188  2453.835  2517.000
     3   189  1818.152  2527.000
     3   190  1881.491  2642.000
     3   191  2091.438  2915.000
     3   192   992.204  1403.000
     3   193  2461.132  3467.000
     3   194  2624.365  3274.000
     3   195  2635.474  3631.000
     3   196  2282.753  3228.000
     3   197  3959.114  4279.000
     3   198  2618.298  3670.000
     3   199  4870.405  5958.000
     3   200  4213.006  5356.000
     3   201  3506.267  4277.000
     3   202  3809.230  5245.000
     3   203  2812.587  3977.000
     3   204  2978.789  3173.000
     3   205   718.178   922.000
     3   206  3355.980  3648.000
     3   207  2564.703  3574.000
     3   208  3274.557  3515.000
     3   209  4659.319  5902.000
     3   210   807.332   991.000
     3   211  3783.789  4886.000
     3   212  3770.326  3869.000
     3   213  2870.571  3178.000
     3   214  2631.456  3484.000
     3   215  3903.279  4344.000
     3   216  2444.103  2656.000
     3   217  1814.295  2487.000
     3   218  3829.094  4953.000
     3   219  2011.639  2464.000
     3   220  4332.460  4870.000
     3   221  4214.609  5465.000
     3   222  3205.271  3989.000
     3   223  4610.102  5505.000
     3   224  3837.203  4945.000
     3   225  4277.336  5259.000
     3   226  2197.370  3095.000
     3   227  3304.333  4565.000
     3   228  2313.450  2998.000
     3   229  2562.913  2731.000
     3   230  3919.957  5189.000
     3   231  1576.458  2214.000
     3   232  5817.823  6566.000
     3   233  3713.068  4723.000
     3   234  4834.490  5438.000
     3   235  4314.606  5355.000
     3   236  3100.751  3467.000
     3   237  1608.657  1680.000
     3   238  3463.038  3798.000
     3   239  4224.057  5880.000
     3   240  3683.359  4198.000
     3   241  4526.250  5926.000
     3   242  3082.706  4127.000
     3   243  3391.540  4529.000
     3   244  2088.867  2482.000
     3   245  2415.875  3416.000
     3   246  3164.362  4347.000
     3   247  3556.003  3561.000
     3   248  3016.049  4241.000
     3   249  1434.781  2013.000
     3   250  1433.387  1737.000
     4     5   428.065   468.000
     4     6   197.952   243.000
     4     7   655.129   898.000
     4     8  1155.509  1520.000
     4     9  1041.019  1439.000
     4    10   554.179   782.000
     4    11  1274.718  1701.000
     4    12   634.769   830.000
     4    13   241.002   270.000
     4    14  1492.093  1814.000
     4    15   197.952   243.000
     4    16  1220.407  1355.000
     4    17   561.307   709.000
     4    18  1963.338  2764.000
     4    19  3314.256  4155.000
     4    20   768.680   953.000
     4    21   632.949   895.000
     4    22  2400.541  2485.000
     4    23  2274.984  2368.000
     4    24   707.743   966.000
     4    25  1817.936  2436.000
     4    26   339.426   356.000
     4    27  1882.806  2305.000
     4    28   485.741   648.000
     4    29  3314.256  4155.000
     4    30   159.452   171.000
     4    31  1263.041  1565.000
     4    32  1441.495  2027.000
     4    33  2287.771  2664.000
     4    34   824.195  1160.000
     4    35   755.483   782.000
     4    36   662.873   884.000
     4    37   269.312   353.000
     4    38  1465.366  1835.000
     4    39  1332.331  1677.000
     4    40  2087.123  2679.000
     4    41  1116.327  1521.000
     4    42  1629.997  2163.000
     4    43   953.655  1333.000
     4    44   330.068   387.000
     4    45   955.221  1336.000
     4    46   173.104   223.000
     4    47   767.508   967.000
     4    48   471.559   656.000
     4    49   405.035   491.000
     4    50   364.198   512.000
     4    51  2007.377  2582.000
     4    52   274.361   382.000
     4    53   315.905   446.000
     4    54  2218.008  3104.000
     4    55   937.770  1270.000
     4    56  1854.405  2610.000
     4    57  1911.946  2357.000
     4    58   238.824   335.000
     4    59   970.087  1087.000
     4    60  1726.297  2310.000
     4    61  1000.341  1300.000
     4    62   841.205  1166.000
     4    63  1388.816  1458.000
     4    64  2604.741  3045.000
     4    65   661.209   713.000
     4    66   197.952   243.000
     4    67  1196.604  1682.000
     4    68   520.532   732.000
     4    69  1101.672  1520.000
     4    70  1421.764  2005.000
     4    71  1106.076  1273.000
     4    72  2743.818  3857.000
     4    73   313.209   390.000
     4    74   523.316   706.000
     4    75  1381.276  1898.000
     4    76  3705.084  4376.000
     4    77  2207.385  2730.000
     4    78  4542.918  6331.000
     4    79  3405.637  4399.000
     4    80  5512.582  6609.000
     4    81  6436.070  8888.000
     4    82  3171.751  3778.000
     4    83  3336.391  4266.000
     4    84  3079.604  4121.000
     4    85  2693.349  3734.000
     4    86  4093.182  5751.000
     4    87  2847.242  3541.000
     4    88  3575.138  5055.000
     4    89  2948.194  4103.000
     4    90  1392.167  1936.000
     4    91  1814.802  1954.000
     4    92  3878.577  5451.000
     4    93  2079.920  2826.000
     4    94  3462.734  4805.000
     4    95  2480.716  3455.000
     4    96  2088.374  2861.000
     4    97  5258.152  6448.000
     4    98  3208.243  4075.000
     4    99  5788.351  6124.000
     4   100  2485.294  3023.000
     4   101  2947.206  4045.000
     4   102  5165.936  6204.000
     4   103  2499.293  2846.000
     4   104  3080.229  4328.000
     4   105  2479.677  2611.000
     4   106  3561.895  4881.000
     4   107  2668.147  3696.000
     4   108  3735.847  4848.000
     4   109  2338.524  3131.000
     4   110  1908.283  2503.000
     4   111  1799.272  2102.000
     4   112  1790.670  2510.000
     4   113  3851.239  5032.000
     4   114  1871.674  2503.000
     4   115  5017.547  6189.000
     4   116  3486.667  3760.000
     4   117  6604.847  8675.000
     4   118  6621.132  7836.000
     4   119  3097.217  4091.000
     4   120  4706.223  5293.000
     4   121  3606.287  5079.000
     4   122  3356.531  4540.000
     4   123  4424.797  6215.000
     4   124  2290.052  2942.000
     4   125  1392.167  1936.000
     4   126  3924.465  5223.000
     4   127  3114.841  3729.000
     4   128  2082.473  2869.000
     4   129  1611.193  2248.000
     4   130  4221.247  5599.000
     4   131  3848.065  5291.000
     4   132  6222.819  8515.000
     4   133  4253.686  4928.000
     4   134  3785.914  5164.000
     4   135  4801.220  5703.000
     4   136  2574.058  2977.000
     4   137  4339.997  5974.000
     4   138  3009.314  3411.000
     4   139  2466.730  2526.000
     4   140  3184.388  4325.000
     4   141  3085.838  4055.000
     4   142  3412.910  4378.000
     4   143  5941.098  7101.000
     4   144  3171.308  4472.000
     4   145  2693.229  3796.000
     4   146  1725.619  2368.000
     4   147  4701.532  6363.000
     4   148  2603.716  3620.000
     4   149  3453.306  4825.000
     4   150  1837.747  2272.000
     4   151  2648.149  3745.000
     4   152  2621.708  3680.000
     4   153  4893.887  6885.000
     4   154  2786.123  3192.000
     4   155  6225.677  8359.000
     4   156  2623.421  3710.000
     4   157  3495.553  4855.000
     4   158  4249.271  4953.000
     4   159  4437.651  5447.000
     4   160  3603.738  5016.000
     4   161  4763.593  5041.000
     4   162  2890.977  3664.000
     4   163  3515.589  4844.000
     4   164  2333.000  3294.000
     4   165  4530.996  6323.000
     4   166  5398.498  6801.000
     4   167  2508.804  3542.000
     4   168  3070.148  4266.000
     4   169  4944.674  6479.000
     4   170  4475.341  4755.000
     4   171  4678.432  5165.000
     4   172  5283.250  6746.000
     4   173  2640.061  3462.000
     4   174  2205.958  3010.000
     4   175  1740.109  2334.000
     4   176  6503.563  8284.000
     4   177  3747.154  3781.000
     4   178  1302.705  1788.000
     4   179  2120.010  2983.000
     4   180  1116.309  1529.000
     4   181  2145.839  2452.000
     4   182  1514.419  1637.000
     4   183   958.856  1121.000
     4   184  4939.393  5464.000
     4   185  4755.063  5416.000
     4   186  1307.233  1750.000
     4   187  2287.189  3014.000
     4   188  1561.781  2191.000
     4   189   638.549   801.000
     4   190   589.571   642.000
     4   191   816.074   827.000
     4   192  1916.378  2087.000
     4   193  1058.805  1357.000
     4   194  2558.422  3600.000
     4   195  1355.605  1521.000
     4   196   815.306  1118.000
     4   197  3424.838  4605.000
     4   198  1245.537  1560.000
     4   199  3815.143  3848.000
